ticker,p,T,exceptions_param,exceptions_hist,kupiec_LR_param,kupiec_p_param,kupiec_LR_hist,kupiec_p_hist
BAC Return,0.95,2267,131,156,2.7608853144517758,0.0965947690886757,15.195451129411987,9.693664840804139e-05
BAC Return,0.99,2267,51,41,26.39900475756552,2.7768352384160977e-07,12.077542271030728,0.0005103282719566282
C Return,0.95,2267,145,154,8.58089918640429,0.0033970757397342455,13.865584924134447,0.0001963614739564079
C Return,0.99,2267,66,40,55.23880440337716,1.0669243266647754e-13,10.901121662836761,0.0009610604689932467
GS Return,0.95,2267,133,129,3.4049231030072016,0.06500214384466108,2.1816639196901377,0.13966339476508938
GS Return,0.99,2267,55,42,33.299951578221005,7.898460552269171e-09,13.303646677263382,0.00026489041662847157
JPM Return,0.95,2267,129,145,2.1816639196901377,0.13966339476508938,8.58089918640429,0.0033970757397342455
JPM Return,0.99,2267,45,35,17.26871551699356,3.2448552135133646e-05,5.809255281682993,0.015942043906067682
MS Return,0.95,2267,131,136,2.7608853144517758,0.0965947690886757,4.490516609801562,0.03408337640653658
MS Return,0.99,2267,53,38,29.772181862712422,4.859145585900393e-08,8.702272342276766,0.0031781361883627124
WFC Return,0.95,2267,128,145,1.9166530365798493,0.1662260975230102,8.58089918640429,0.0033970757397342455
WFC Return,0.99,2267,52,38,28.065909888120135,1.1725318338484669e-07,8.702272342276766,0.0031781361883627124
